قَالَ,to say
أَحَاطَ,"to surround, to encompass"
أَدْرَىٰ,to make known
أُغْرِقُ,to drown
فَصَّلَ,"to make clear, to explain in detail"
فَضَّلَ,"to bestow, to prefer, to favor"
يَتَفَكَّرُ,"to ponder, to reflect"
ٱنقَلَبَ,"to turn back, to return"
كَرِهَ,"to dislike, to hate"
أَنْعَمَ,to bestow favor
وَدَّ,"to love, to wish"
أُفِكَ,"to delude, to turn away"
بَسَطَ,"to extend, to stretch"
أَتَمَّ,"to fulfill, to complete, to perfect"
خَسِرَ,to lose
ٱسْتَمَعَ,to listen
سَارَ,to travel
فَتَحَ,"to open, to give victory"
فَرِحَ,to rejoice
قَدَّرَ,"to determine, to plot"
قَرَأَ,"to read, to recite"
مَنَّ,to favor
أَنۢبَتَ,to make grow
ٱنتَهَىٰ,"to refrain, to cease, to desist"
هَاجَرَ,to emigrate
وَقَىٰ,"to save, to protect"
أَخَّرَ,"to delay, to give respite"
أُوذِىَ,"to harm, to trouble"
يُبْدِىَ,"to reveal, to disclose"
أَتْبَعَ,to follow
سَكَنَ,"to dwell, to live, to rest"
شَرِبَ,to drink
صَدَقَ,"to be truthful, to fulfill"
صَنَعُ,"to make, to construct, to do"
ٱعْتَدَىٰ,to transgress
غَرَّ,"to deceive, to delude"
غَلَبُ,"to overcome, to defeat"
أَغْنَىٰ,"to avail, to prosper"
أَفْسَدُ,to cause corruption
وَعَظْ,"to instruct, to advise, to preach"
حَلَلْ,"to descend, to be lawful"
أَخْلَفُ,"to break, to fail"
صَرَفَ,"to divert, to turn away"
أَعْتَدَتْ,to prepare
عَدَلَ,to be just
كَشَفَ,"to remove, to uncover"
كَفَّرَ,to remove
لَقُ,"to receive, to meet"
نَكَحَ,to marry
أَبَى,to refuse
تَرَبَّصْ,to await
زَعَمَ,to claim
أَسْمَعَ,to make hear
سَوَّىٰ,"to fashion, to proportion"
يَصْلَى,to burn
أَطْعَمَ,to feed
غَشِيَ,to cover
مَدَّ,"to spread, to extend, to prolong"
مَكَّ,to establish
وَرِثَ,to inherit
يَصِفُ,"to attribute, to ascribe"
ٱسْتَـْٔذَنَ,to ask permission
بَدَأَ,"to begin, to originate"
جَحَدُ,"to reject, to deny"
حَبِطَ,to become worthless
حَآجَّ,to argue
يَحْذَرُ,"to fear, to beware"
حَلَفْ,to swear
خَرَّ,to fall
أَخْزَيْ,to disgrace
تَدْرِى,to know
زَكَّىٰ,to purify
سَقَىٰ,"to water, to give drink"
سَلَكَ,"to insert, to make enter"
ٱصْطَفَىٰ,to choose
صَلَّىٰ,"to pray, to bless"
طَغَىٰ,"to transgress, to overflow"
أَعْلَن,"to declare, to reveal, to proclaim"
قُطِعَ,to cut
قَطَّعَ,"to cut, to divide"
قَعَدَ,to sit
مَّنَعَ,to prevent
يُنظَرُ,to give respite
أَوْرَثَ,to make inherit
وَقَعَ,"to fall, to occur, to fulfill"
يُوقِنُ,to believe firmly
بَدَا,to become apparent
بَنَىٰ,"to construct, to build"
أَذْهَبَ,"to remove, to take away"
سَخِرَ,"to ridicule, to mock"
طَبَعَ,to seal
أَعْجَبَ,"to please, to impress"
عَرَضَ,"to display, to present, to expose, to turn away"
عَٰهَدَ,to make a covenant
يَقْرَبُ,"to approach, to go near"
كَذَبَ,"to deny, to lie"
لَبَسْ,"to obscure, to confuse, to mix, to wear"
تَمَتَّعَ,to enjoy
أَنَابَ,to turn
يَنَالُ,to reach
هَادُ,to be Jewish
وَصَّىٰ,to enjoin
يَسَّرَ,to make easy
بَخِلَ,"to be stingy, to withhold"
